 nds-w "nas-daß" nas-w nas-2 ns-w ns-ob xa nrs-2 "ns-daß" "nds-daß" nds-ob xd nrs-w x nir xp npr ndi ni ns-2 nds-2 nad na "xs-daß" nai nd xr n nar nap "nrs-daß" nrs-ob np ndp nr ndr nas-ob 
entfernen 0.0 0.0 0.0 0.0 -0.00215 0.0 -0.00224 0.00157 0.0 0.0 0.0 0.0 0.00103 0.0 0.0 0.0 0.05325 -0.00148 -0.01018 -0.00747 0.0 0.10951 0.19712 0.0 0.01485 -0.012 0.00016 0.01191 -0.00288 -0.00143 0.0 0.0 -0.02421 -0.00243 0.03013 0.00127 0.0 
jammern 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00091 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01018 0.61876 0.0 -0.01955 -0.04717 0.0 0.0 0.00075 0.0 0.50359 0.0 0.0 0.0 0.0 0.08804 0.00206 -0.00607 0.0 0.0 
klagen 0.0 -0.00034 0.0 -0.001 0.0 0.0 0.0 0.0 0.01115 0.0 0.0 0.0 0.0 -0.00182 0.0 0.0 -0.00186 -0.00158 -0.00973 0.53063 0.01103 -0.01964 -0.08675 0.0 -0.00275 -0.00929 0.0 0.31804 0.0 -0.01935 0.0 0.0 0.25533 -0.00246 0.0 0.0 0.0 
stellen 0.0 0.0 -0.00033 -0.00107 -0.00215 -0.0002 -0.00208 -0.00028 -0.00247 0.0 0.0 0.0 0.00237 0.0 -0.00178 0.0 0.07326 -0.00162 -0.00749 -0.00466 -0.0003 0.07996 0.13219 0.0 -0.00527 -0.01314 -0.00021 -0.04441 0.06827 0.18919 -9e-05 0.00195 -0.02346 0.00178 0.08379 0.1474 0.0 
freuen 0.0 0.0044 -0.00043 0.0 -0.00167 0.0 -0.00121 0.59304 -0.00209 0.0 0.0 0.0 0.00077 0.0 0.00869 0.0 0.76784 0.0 -0.00177 -0.00309 0.0 -0.01081 -0.07987 0.0 -0.00117 -0.00903 0.00098 -0.01505 0.04835 -0.00765 0.19067 0.0 -0.00221 -0.00266 1.02953 0.09856 0.0 
lachen 0.0 0.0 0.0 0.0 -0.00149 0.0 0.0 0.0 -0.00287 0.0 0.0 0.0 0.0 -0.00166 -0.0018 0.0 -0.00372 -0.00027 -0.00713 0.11511 0.00586 -0.01123 -0.08622 0.0 -0.00245 0.00043 0.0 0.82106 -0.0031 -0.01783 0.0 0.0 0.03605 -0.00059 -0.00679 -0.00157 0.0 
geben 3e-05 0.00404 0.0085 0.00177 -0.00182 0.0 1.21753 -0.00032 -0.00063 -0.00012 0.0 0.00403 -0.00012 0.00856 -0.00231 -0.00098 -0.00668 -0.0014 -0.00792 -0.00415 -0.00025 0.04861 -0.02637 0.0 0.01306 -0.0132 -0.00029 -0.04095 0.00181 0.14913 0.0 0.0 -0.02365 -0.00246 -0.00821 -0.00172 0.00032 
anfangen 0.0 0.0 0.0 -0.00123 0.00458 0.0 0.0 0.0 -0.00309 0.0 0.0 0.0 0.0 0.01268 -0.00173 0.0 0.0 -0.0014 0.40614 -0.00686 0.0 -0.01611 -0.09129 0.00037 -0.00515 -0.01085 0.0 0.5695 -0.00127 -0.02841 0.0 0.0 0.02718 0.0 0.0 0.0 0.0 
starren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01012 -0.0092 0.0 -0.02037 -0.06841 0.0 0.0 0.01509 0.0 0.47604 0.0 -0.02112 0.0 0.0 0.56023 0.02622 0.0 0.0 0.0 
dämmern 0.0 0.04154 0.0 0.0 0.0 0.0 0.0 0.0 0.32542 0.22502 0.0 0.98428 0.0 0.14074 0.0 0.02344 0.0 0.0 0.0 0.00466 0.04288 -0.0199 -0.08694 0.0 0.00083 0.17203 0.0 0.05796 0.0 0.0 0.0 0.0 0.0 0.05306 0.0 0.0 0.0 
präsentieren 0.00059 -0.00036 -0.00026 -0.00115 -0.002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00192 0.0 0.22755 -0.00152 -0.00177 -0.0018 -6e-05 0.21214 0.07969 0.0 -0.00151 -0.01326 0.0 -0.04833 0.01142 0.1109 0.0 0.0 -0.01407 -0.00274 0.10389 0.13116 0.0 
rudern 0.0 0.0 0.0 0.0 0.03382 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.37289 0.02559 0.0 -0.02038 -0.05703 0.0 0.0 0.01483 0.0 0.1761 0.0 -0.02302 0.0 0.0 0.41532 0.0 0.0 0.0 0.0 
konsumieren 0.0 0.0 0.0 0.01014 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00374 0.0 -0.00669 0.0 -0.00703 0.0 0.0 -0.00055 0.31017 0.0 0.00119 0.0082 0.0 -0.02731 0.0 0.14974 0.0 0.0 -0.02071 0.00603 0.0 0.0 0.0 
vorführen 0.01431 0.0 0.00048 0.00165 0.0332 0.0 0.0 0.0 -0.00306 0.01214 0.0 0.0 0.00707 -0.00212 0.0 0.0 -0.00628 -0.00163 -0.00687 -0.00459 0.0 0.98941 0.06131 0.0 -0.0048 0.00121 0.0 -0.0376 -0.00314 0.0227 0.0 0.0 -0.00626 -0.00257 -0.00442 3e-05 0.0 
verkleinern 0.02511 0.0 0.0 0.02152 0.0 0.0 0.0 0.01546 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00373 0.00362 -0.00973 0.0 0.0 0.00892 0.57768 0.0 0.00019 -0.01091 0.0 -0.05148 0.0 0.0366 0.0 0.0 0.0 0.0 0.01272 0.0 0.0 
